Country,Price,Size,Marketplace,Reference,Moy_prix_by_size,Address
Nabeul,150000.0,141.0,Tayara TN,b251608b-acd0-4996-b3ae-ea1d61d3ec70,1063.8297872340424,"Nabeul, Hammamet"
Nabeul,37000.0,30.0,Tayara TN,fa7f29ee-5b34-44ba-8614-0fae101722b3,1233.3333333333333,"Nabeul, Hammamet"
Sousse,170000.0,75.0,Jumia TN,L-TN-00122569,2266.6666666666665,"Sousse Medina, Sousse, Sousse"
Banlieue Nord,3000.0,119.0,Jumia TN,L-TN-00137257,25.210084033613445,"jardins de carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Banlieue Nord,520000.0,171.0,Jumia TN,L-TN-00144328,3040.93567251462,"jardins de carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Banlieue Nord,280000.0,110.0,Jumia TN,L-TN-00158472,2545.4545454545455,"Gammarth, Gammarth, Tunis et Banlieue Nord"
Banlieue Nord,170000.0,73.0,Jumia TN,L-TN-00170421,2328.7671232876714,"RUE KHALED IBEN EL WALID AIN ZAGHOUAN, AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord"
Banlieue Nord,343565.0,94.0,Jumia TN,L-TN-00154104,3654.946808510638,"Les Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Sousse,330000.0,105.0,Jumia TN,L-TN-00127646,3142.8571428571427,"résidence chat kantaoui, El Kantaoui, Hammam Sousse, Sousse"
Sousse,280000.0,155.0,Jumia TN,L-TN-00134963,1806.4516129032259,"Rue Hassen Ben Said 4051 khezema ouest sousse prés de librairie SIAB, Sahloul, Sousse"
Ariana,185000.0,109.0,Jumia TN,L-TN-00158127,1697.2477064220184,"La Soukra, La Soukra, Ariana"
Banlieue Nord,990000.0,380.0,Jumia TN,L-TN-00171981,2605.2631578947367,"La Marsa, La Marsa, Tunis et Banlieue Nord"
Banlieue Nord,436000.0,81.0,Jumia TN,L-TN-00171982,5382.716049382716,"La Marsa, La Marsa, Tunis et Banlieue Nord"
